66;85;
86;67;
76;72;
88;56;
94;68;
89;73;
95;67;
90;61;
103;64;
109;66;
129;80;
139;70;
152;63;
129;64;
171;76;
171;68;
179;60;
189;74;
197;56;
174;56;
195;65;
196;60;
230;65;
200;57;
244;61;
234;56;
267;66;
271;61;
255;68;
271;73;
311;76;
275;71;
289;61;
264;73;
280;70;
296;72;
296;86;
317;63;
280;69;
286;73;
280;75;
315;52;
306;72;
301;75;
316;83;
313;75;
308;68;
285;13393;
310;68;
289;54;
301;57;
306;76;
302;67;
299;64;
304;65;
285;60;
291;69;
269;57;
279;55;
296;52;
266;60;
234;72;
241;71;
237;65;
246;74;
236;67;
226;69;
216;66;
218;76;
227;52;
219;85;
175;79;
206;68;
182;57;
191;63;
176;75;
150;61;
157;80;
173;59;
169;61;
111;79;
147;52;
141;66;
132;68;
149;64;
117;67;
108;65;
121;50;
100;55;
121;64;
77;71;
86;57;
90;63;
98;65;
76;71;
89;65;
86;64;
86;78;
97;72;
85;75;
